fromNode	toNode	weight
ACTP1	ADH5P2	0.225409008351722
ACTP1	AGBL4	0.281410474141425
ACTP1	AGGF1P10	0.924901384001815
ACTP1	AKR7A2P2	0.924901384001815
ACTP1	ANKRD20A3P	0.924901384001815
ACTP1	ARF1P2	0.924901384001815
ACTP1	ARL5AP4	0.377052175002578
ACTP1	ARPC3P4	0.360975614182633
ACTP1	ARRDC5	0.354933048404755
ACTP1	ARSDP1	0.924901384001815
ACTP1	ASB18	0.615363087902543
ACTP1	ATP6V1G1P4	0.298837965007184
ACTP1	BMP2KL	0.47197432796403
ACTP1	BMPR1AP2	0.246252517075411
ACTP1	BMS1P10	0.304839169852458
ACTP1	BNIP3P10	0.300345674649748
ACTP1	BTF3P8	0.924901384001815
ACTP1	CCDC89	0.386008205262987
ACTP1	CCNJP2	0.924901384001815
ACTP1	CDH12P2	0.606838939796837
ACTP1	CDH7	0.279506041141298
ACTP1	CICP6	0.796216974849409
ACTP1	COX7A2P1	0.219812057545365
ACTP1	CPHL1P	0.359294466698336
ACTP1	CSPG4P4Y	0.924901384001815
ACTP1	CTAGE1	0.645241142678342
ACTP1	CTNNA2	0.924901384001815
ACTP1	DCX	0.360930634512008
ACTP1	DDX6P2	0.281410474141425
ACTP1	DNAI2	0.924901384001815
ACTP1	E2F3P1	0.641729524243027
ACTP1	ENSG00000213560	0.257070467269978
ACTP1	ENSG00000219928	0.434578523533811
ACTP1	ENSG00000225893	0.924901384001815
ACTP1	ENSG00000226045	0.698801494508167
ACTP1	ENSG00000226671	0.924901384001815
ACTP1	ENSG00000226989	0.924901384001815
ACTP1	ENSG00000229497	0.257070467269978
ACTP1	ENSG00000230863	0.662036480533588
ACTP1	ENSG00000233691	0.924901384001815
ACTP1	ENSG00000234735	0.387139812814081
ACTP1	ENSG00000235251	0.632919076829063
ACTP1	ENSG00000235869	0.924901384001815
ACTP1	ENSG00000237161	0.752551428903377
ACTP1	ENSG00000239323	0.412223324017513
ACTP1	ENSG00000240775	0.851321389677855
ACTP1	ENSG00000243038	0.924901384001815
ACTP1	ENSG00000243303	0.924901384001815
ACTP1	ENSG00000244535	0.325379836271676
ACTP1	ENSG00000249755	0.350029509231474
ACTP1	ENSG00000253166	0.924901384001815
ACTP1	ENSG00000254316	0.924901384001815
ACTP1	ENSG00000254719	0.924901384001815
ACTP1	ENSG00000255210	0.225409008351722
ACTP1	ENSG00000255296	0.924901384001815
ACTP1	ENSG00000255500	0.218059557440105
ACTP1	ENSG00000255885	0.659288049133341
ACTP1	ENSG00000256825	0.914710792238372
ACTP1	ENSG00000259950	0.924901384001815
ACTP1	ENSG00000260639	0.924901384001815
ACTP1	ENSG00000261024	0.298837965007184
ACTP1	ENSG00000262492	0.235873949233504
ACTP1	ENSG00000268293	0.257070467269978
ACTP1	ENSG00000269307	0.884663627853335
ACTP1	ENSG00000270236	0.412223324017513
ACTP1	ENSG00000270442	0.270426145771435
ACTP1	ENSG00000270711	0.248695001711615
ACTP1	ENSG00000271127	0.36350239433292
ACTP1	ENSG00000271329	0.303984785291375
ACTP1	ENSG00000273167	0.924901384001815
ACTP1	ENSG00000276100	0.57104637640109
ACTP1	ENSG00000279017	0.75673048373006
ACTP1	ENSG00000279273	0.924901384001815
ACTP1	ENSG00000279366	0.924901384001815
ACTP1	ENSG00000279444	0.924901384001815
ACTP1	ENSG00000280176	0.924901384001815
ACTP1	ENSG00000280222	0.302473342958386
ACTP1	ENSG00000282924	0.924901384001815
ACTP1	ENSG00000290183	0.285743472359823
ACTP1	ERICH3	0.924901384001815
ACTP1	FAM90A28P	0.889487431755404
ACTP1	FCF1P8	0.394904220996044
ACTP1	FREM1	0.420907244123098
ACTP1	FTH1P25	0.253129528582552
ACTP1	GABRA2	0.281635357035163
ACTP1	GAPDHP39	0.221783498552318
ACTP1	GBP7	0.473652908095674
ACTP1	GLDN	0.335858821291397
ACTP1	GLULP4	0.238353354665614
ACTP1	GPAA1P1	0.924901384001815
ACTP1	GRAMD4P6	0.924901384001815
ACTP1	H3C9P	0.785433559004664
ACTP1	H3P13	0.924901384001815
ACTP1	H3P47	0.425159871106773
ACTP1	H3P7	0.924901384001815
ACTP1	HMGB1P13	0.924901384001815
ACTP1	HMGB1P49	0.377052175002578
ACTP1	HMGB3P27	0.924901384001815
ACTP1	HMGB3P5	0.257070467269978
ACTP1	HMGN2P15	0.232408273261436
ACTP1	HMGN2P38	0.924901384001815
ACTP1	HNRNPA1P11	0.364706603119365
ACTP1	HNRNPA3P14	0.235873949233504
ACTP1	HNRNPRP1	0.549836500168058
ACTP1	HSP90AB7P	0.325379836271676
ACTP1	HTR5A	0.924901384001815
ACTP1	HYDIN2	0.914659471788191
ACTP1	IFITM4P	0.924901384001815
ACTP1	IFNA1	0.253727840766791
ACTP1	IFNL2	0.924901384001815
ACTP1	IL23R	0.279506041141298
ACTP1	KLF4P1	0.598475783132352
ACTP1	KRT18P62	0.924901384001815
ACTP1	KRTAP5-10	0.750169914559492
ACTP1	KRTAP5-6	0.924901384001815
ACTP1	LENEP	0.621981079332895
ACTP1	LIMK2P1	0.924901384001815
ACTP1	LY6G6F-LY6G6D	0.924901384001815
ACTP1	LYVE1	0.924901384001815
ACTP1	MIR210	0.924901384001815
ACTP1	MIR551A	0.924901384001815
ACTP1	MORF4L1P5	0.924901384001815
ACTP1	MPHOSPH6P1	0.237611839803514
ACTP1	MROH2A	0.830316355378724
ACTP1	MTCO1P51	0.335858821291397
ACTP1	NDUFB5P2	0.924901384001815
ACTP1	NF1P1	0.924901384001815
