fromNode	toNode	weight
ABCF2P1	ENSG00000257668	0.235560023691161
ABCF2P1	KRASP1	0.235560023691161
ABCF2P1	RN7SL477P	0.235560023691161
ACRP1	ACSM2B	0.367723111549854
ACRP1	ACSM4	0.915535837838335
ACRP1	ACTBP9	0.298769874956826
ACRP1	AFM	0.915535837838335
ACRP1	AHCYP7	0.915535837838335
ACRP1	AIDAP2	0.366446346495232
ACRP1	AMPD1	0.305500801071754
ACRP1	ANKRD49P3	0.340306608704358
ACRP1	ANXA2P3	0.770476405651581
ACRP1	APOBEC4	0.37461989512982
ACRP1	ATP5PFP1	0.915535837838335
ACRP1	BMP10	0.915535837838335
ACRP1	BRD7P3	0.666431437717758
ACRP1	BTF3P16	0.248683790273591
ACRP1	BTNL12P	0.915535837838335
ACRP1	BUB3P1	0.915535837838335
ACRP1	C5orf47	0.680018880122233
ACRP1	CALML3	0.396575054543307
ACRP1	CCL28	0.345592140887144
ACRP1	CCT6P1	0.523449760379989
ACRP1	CDSN	0.874674378483123
ACRP1	CECR7	0.915535837838335
ACRP1	CHMP5P1	0.6618810285236
ACRP1	CIMAP1A	0.653855434315881
ACRP1	CIMAP1C	0.61634563280238
ACRP1	COPRSP1	0.341825116472582
ACRP1	CPNE8	0.271326847711838
ACRP1	CRIPTO	0.744122053282669
ACRP1	CUL1P1	0.391505411354914
ACRP1	CYP24A1	0.592330549235726
ACRP1	CYP8B1	0.915535837838335
ACRP1	DAZAP2P1	0.595235157479833
ACRP1	DCLK3	0.535084509868997
ACRP1	DNAJB6P4	0.915535837838335
ACRP1	DNM1P47	0.388656596864856
ACRP1	EEF1A1P45	0.301004890511511
ACRP1	EEF1B2P2	0.660195676560294
ACRP1	EEF1GP3	0.378161585538869
ACRP1	ENDOU	0.655332660735255
ACRP1	ENPP7P14	0.915535837838335
ACRP1	ENSG00000179038	0.739817591252969
ACRP1	ENSG00000180019	0.915535837838335
ACRP1	ENSG00000213717	0.528523562787008
ACRP1	ENSG00000215237	0.32161596815184
ACRP1	ENSG00000215450	0.915535837838335
ACRP1	ENSG00000216475	0.240073079373804
ACRP1	ENSG00000218682	0.368600950351834
ACRP1	ENSG00000227747	0.441739297233545
ACRP1	ENSG00000230271	0.915535837838335
ACRP1	ENSG00000230637	0.375262067062148
ACRP1	ENSG00000233388	0.279963272794196
ACRP1	ENSG00000236327	0.915535837838335
ACRP1	ENSG00000236391	0.915535837838335
ACRP1	ENSG00000236550	0.364643814704917
ACRP1	ENSG00000237349	0.842610417486355
ACRP1	ENSG00000237810	0.251932166449001
ACRP1	ENSG00000238150	0.430467527386585
ACRP1	ENSG00000239985	0.915535837838335
ACRP1	ENSG00000242324	0.88504091783385
ACRP1	ENSG00000248387	0.915535837838335
ACRP1	ENSG00000248774	0.424691961737534
ACRP1	ENSG00000248993	0.639539259660456
ACRP1	ENSG00000250669	0.915535837838335
ACRP1	ENSG00000251193	0.21903172744655
ACRP1	ENSG00000251196	0.718183619589938
ACRP1	ENSG00000251501	0.915535837838335
ACRP1	ENSG00000253886	0.643623980770029
ACRP1	ENSG00000255432	0.915535837838335
ACRP1	ENSG00000255786	0.915535837838335
ACRP1	ENSG00000256349	0.231449290853697
ACRP1	ENSG00000257175	0.28173662538236
ACRP1	ENSG00000257611	0.915535837838335
ACRP1	ENSG00000258150	0.406075382197563
ACRP1	ENSG00000258204	0.246955836836211
ACRP1	ENSG00000259299	0.501221931460639
ACRP1	ENSG00000262587	0.899164975147251
ACRP1	ENSG00000266306	0.401081928493742
ACRP1	ENSG00000267261	0.387157019977378
ACRP1	ENSG00000267404	0.544426651926257
ACRP1	ENSG00000267554	0.542475948840883
ACRP1	ENSG00000268400	0.816445509466255
ACRP1	ENSG00000270387	0.915535837838335
ACRP1	ENSG00000271949	0.76616240957814
ACRP1	ENSG00000272104	0.480939168046684
ACRP1	ENSG00000274351	0.24077414167249
ACRP1	ENSG00000277103	0.334321883973459
ACRP1	ENSG00000277447	0.616641567980118
ACRP1	ENSG00000278665	0.388407255251956
ACRP1	ENSG00000278895	0.257704154490113
ACRP1	ENSG00000278924	0.915535837838335
ACRP1	ENSG00000278972	0.915535837838335
ACRP1	ENSG00000279228	0.464096524761499
ACRP1	ENSG00000279625	0.915535837838335
ACRP1	ENSG00000279771	0.915535837838335
ACRP1	ENSG00000280182	0.844003059950966
ACRP1	ENSG00000280415	0.915535837838335
ACRP1	ENSG00000282218	0.882611239121369
ACRP1	EZRP1	0.695332499743862
ACRP1	FABP5P8	0.528187089505724
ACRP1	FABP7P2	0.283697058679252
ACRP1	FCF1P7	0.452936151775797
ACRP1	FPR2	0.915535837838335
ACRP1	GAPDHP74	0.915535837838335
ACRP1	GFRAL	0.915535837838335
ACRP1	GK3	0.616573850456301
ACRP1	GNL2P1	0.915535837838335
ACRP1	GPCPD1P1	0.906169637169787
ACRP1	GPX1P2	0.363100926986575
ACRP1	GSTO3P	0.915535837838335
ACRP1	H1-7	0.915535837838335
