nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
AKT1S1	AKT1S1	brown	protein_coding	False	0		0
AKTIP	AKTIP	brown	protein_coding	False	0		0
ALAD	ALAD	brown	protein_coding	False	0		0
ALAS1	ALAS1	brown	protein_coding	False	0		0
ALDH3A2	ALDH3A2	brown	protein_coding	False	0		0
ALDH4A1	ALDH4A1	brown	protein_coding	False	0		0
ALDH5A1	ALDH5A1	brown	protein_coding	False	0		0
ALDH9A1	ALDH9A1	brown	protein_coding	False	0		0
ALG12	ALG12	brown	protein_coding	False	0		0
ALKBH2	ALKBH2	brown	protein_coding	False	0		0
ALKBH3	ALKBH3	brown	protein_coding	False	0		0
ALKBH4	ALKBH4	brown	protein_coding	False	0		0
ALKBH7	ALKBH7	brown	protein_coding	False	0		0
ALS2	ALS2	brown	protein_coding	False	0		0
ALX1	ALX1	brown	protein_coding	False	0		0
ALYREF	ALYREF	brown	protein_coding	False	0		0
AMACR	AMACR	brown	protein_coding	False	0		0
AMBRA1	AMBRA1	brown	protein_coding	False	0		0
AMFR	AMFR	brown	protein_coding	False	0		0
AMIGO3	AMIGO3	brown	protein_coding	False	0		0
AMN1	AMN1	brown	protein_coding	False	0		0
AMZ2	AMZ2	brown	protein_coding	False	0		0
AMZ2P1	AMZ2P1	brown	lncRNA	True	0		2
ANAPC1	ANAPC1	brown	protein_coding	False	0		0
ANAPC1P1	ANAPC1P1	brown	transcribed_unprocessed_pseudogene	False	0		0
ANAPC7	ANAPC7	brown	protein_coding	False	0		0
ANG	ANG	brown	protein_coding	False	0		0
ANGEL1	ANGEL1	brown	protein_coding	False	0		0
ANK2	ANK2	brown	protein_coding	False	0		0
ANKFY1	ANKFY1	brown	protein_coding	False	0		0
ANKRA2	ANKRA2	brown	protein_coding	False	0		0
ANKRD13A	ANKRD13A	brown	protein_coding	False	0		0
ANKRD13C-DT	ANKRD13C-DT	brown	lncRNA	True	0		2
ANKRD16	ANKRD16	brown	protein_coding	False	0		0
ANKRD24	ANKRD24	brown	protein_coding	False	0		0
ANKRD39	ANKRD39	brown	protein_coding	False	0		0
ANKRD54	ANKRD54	brown	protein_coding	False	0		0
ANKRD6	ANKRD6	brown	protein_coding	False	0		0
ANKRD65	ANKRD65	brown	protein_coding	False	0		0
ANKRD9	ANKRD9	brown	protein_coding	False	0		0
ANKS1A	ANKS1A	brown	protein_coding	False	0		0
ANKS1B	ANKS1B	brown	protein_coding	False	0		0
ANKS6	ANKS6	brown	protein_coding	False	0		0
ANO10	ANO10	brown	protein_coding	False	0		0
ANO8	ANO8	brown	protein_coding	False	0		0
ANP32A	ANP32A	brown	protein_coding	False	0		0
ANTKMT	ANTKMT	brown	protein_coding	False	0		0
ANXA2R	ANXA2R	brown	protein_coding	False	0		0
ANXA2R-AS1	ANXA2R-AS1	brown	lncRNA	True	0		2
AP1B1	AP1B1	brown	protein_coding	False	0		0
AP1M1	AP1M1	brown	protein_coding	False	0		0
AP2A1	AP2A1	brown	protein_coding	False	0		0
AP2A2	AP2A2	brown	protein_coding	False	0		0
AP2B1	AP2B1	brown	protein_coding	False	0		0
AP3D1	AP3D1	brown	protein_coding	False	0		0
AP3M2	AP3M2	brown	protein_coding	False	0		0
AP4M1	AP4M1	brown	protein_coding	False	0		0
AP5B1	AP5B1	brown	protein_coding	False	0		0
AP5Z1	AP5Z1	brown	protein_coding	False	0		0
APBA3	APBA3	brown	protein_coding	False	0		0
APBB3	APBB3	brown	protein_coding	False	0		0
APC2	APC2	brown	protein_coding	False	0		0
APEH	APEH	brown	protein_coding	False	0		0
APEX1	APEX1	brown	protein_coding	False	0		0
APEX2	APEX2	brown	protein_coding	False	0		0
APH1A	APH1A	brown	protein_coding	False	0		0
APLP1	APLP1	brown	protein_coding	False	0		0
APLP2	APLP2	brown	protein_coding	False	0		0
APOO	APOO	brown	protein_coding	False	0		0
APPL2	APPL2	brown	protein_coding	False	0		0
AQP11	AQP11	brown	protein_coding	False	0		0
ARAF	ARAF	brown	protein_coding	False	0		0
ARAP1	ARAP1	brown	protein_coding	False	0		0
ARF5	ARF5	brown	protein_coding	False	0		0
ARFGAP2	ARFGAP2	brown	protein_coding	False	0		0
ARFGAP3	ARFGAP3	brown	protein_coding	False	0		0
ARFGEF1-DT	ARFGEF1-DT	brown	lncRNA	True	0		2
ARHGAP19	ARHGAP19	brown	protein_coding	False	0		0
ARHGAP27	ARHGAP27	brown	protein_coding	False	0		0
ARHGAP32	ARHGAP32	brown	protein_coding	False	0		0
ARHGAP33	ARHGAP33	brown	protein_coding	False	0		0
ARHGAP35	ARHGAP35	brown	protein_coding	False	0		0
ARHGAP39	ARHGAP39	brown	protein_coding	False	0		0
ARHGAP44	ARHGAP44	brown	protein_coding	False	0		0
ARHGAP45	ARHGAP45	brown	protein_coding	False	0		0
ARHGAP5-AS1	ARHGAP5-AS1	brown	lncRNA	True	0		2
ARHGDIA	ARHGDIA	brown	protein_coding	False	0		0
ARHGDIG	ARHGDIG	brown	protein_coding	False	0		0
ARHGEF1	ARHGEF1	brown	protein_coding	False	0		0
ARHGEF10L	ARHGEF10L	brown	protein_coding	False	0		0
ARHGEF11	ARHGEF11	brown	protein_coding	False	0		0
ARHGEF18	ARHGEF18	brown	protein_coding	False	0		0
ARHGEF25	ARHGEF25	brown	protein_coding	False	0		0
ARHGEF26	ARHGEF26	brown	protein_coding	False	0		0
ARHGEF7	ARHGEF7	brown	protein_coding	False	0		0
ARHGEF9	ARHGEF9	brown	protein_coding	False	0		0
ARID1A	ARID1A	brown	protein_coding	False	0		0
ARID1B	ARID1B	brown	protein_coding	False	0		0
ARID3A	ARID3A	brown	protein_coding	False	0		0
ARID3B	ARID3B	brown	protein_coding	False	0		0
ARID3C	ARID3C	brown	protein_coding	False	0		0
ARIH2	ARIH2	brown	protein_coding	False	0		0
ARL2BP	ARL2BP	brown	protein_coding	False	0		0
ARL3	ARL3	brown	protein_coding	False	0		0
ARL8A	ARL8A	brown	protein_coding	False	0		0
ARMC10	ARMC10	brown	protein_coding	False	0		0
ARMC2	ARMC2	brown	protein_coding	False	0		0
ARMC7	ARMC7	brown	protein_coding	False	0		0
ARMCX5	ARMCX5	brown	protein_coding	False	0		0
ARMH3	ARMH3	brown	protein_coding	False	0		0
ARNT	ARNT	brown	protein_coding	False	0		0
ARPC4	ARPC4	brown	protein_coding	False	0		0
ARPIN	ARPIN	brown	protein_coding	False	0		0
ARPIN-AP3S2	ARPIN-AP3S2	brown	protein_coding	False	0		0
ARRB2	ARRB2	brown	protein_coding	False	0		0
ARSA	ARSA	brown	protein_coding	False	0		0
ARSD	ARSD	brown	protein_coding	False	0		0
ARSG	ARSG	brown	protein_coding	False	0		0
ARSK	ARSK	brown	protein_coding	False	0		0
