nodeName	gene_name	module	biotype	is_robust_lnc	is_hub	hub_function	highlight
ANKMY1	ANKMY1	blue	protein_coding	False	0		0
ANKRD13D	ANKRD13D	blue	protein_coding	False	0		0
ANKRD27	ANKRD27	blue	protein_coding	False	0		0
ANKRD40	ANKRD40	blue	protein_coding	False	0		0
ANKRD52	ANKRD52	blue	protein_coding	False	0		0
ANKS3	ANKS3	blue	protein_coding	False	0		0
ANKZF1	ANKZF1	blue	protein_coding	False	0		0
ANP32B	ANP32B	blue	protein_coding	False	0		0
ANXA11	ANXA11	blue	protein_coding	False	0		0
ANXA2	ANXA2	blue	protein_coding	False	0		0
ANXA5	ANXA5	blue	protein_coding	False	0		0
ANXA6	ANXA6	blue	protein_coding	False	0		0
ANXA7	ANXA7	blue	protein_coding	False	0		0
AP1G1	AP1G1	blue	protein_coding	False	0		0
AP1S1	AP1S1	blue	protein_coding	False	0		0
AP2M1	AP2M1	blue	protein_coding	False	0		0
AP2S1	AP2S1	blue	protein_coding	False	0		0
AP3S1	AP3S1	blue	protein_coding	False	0		0
AP3S2	AP3S2	blue	protein_coding	False	0		0
AP4B1	AP4B1	blue	protein_coding	False	0		0
APBB1	APBB1	blue	protein_coding	False	0		0
APH1B	APH1B	blue	protein_coding	False	0		0
APIP	APIP	blue	protein_coding	False	0		0
APMAP	APMAP	blue	protein_coding	False	0		0
APOBEC3B	APOBEC3B	blue	protein_coding	False	0		0
APOC1	APOC1	blue	protein_coding	False	0		0
APOM	APOM	blue	protein_coding	False	0		0
APP	APP	blue	protein_coding	False	0		0
APRT	APRT	blue	protein_coding	False	0		0
APTR	APTR	blue	lncRNA	True	0		2
APTX	APTX	blue	protein_coding	False	0		0
ARCN1	ARCN1	blue	protein_coding	False	0		0
AREL1	AREL1	blue	protein_coding	False	0		0
ARF1	ARF1	blue	protein_coding	False	0		0
ARF3	ARF3	blue	protein_coding	False	0		0
ARFGAP1	ARFGAP1	blue	protein_coding	False	0		0
ARFIP2	ARFIP2	blue	protein_coding	False	0		0
ARHGAP1	ARHGAP1	blue	protein_coding	False	0		0
ARHGAP10	ARHGAP10	blue	protein_coding	False	0		0
ARHGEF17	ARHGEF17	blue	protein_coding	False	0		0
ARIH1	ARIH1	blue	protein_coding	False	0		0
ARL6IP1	ARL6IP1	blue	protein_coding	False	0		0
ARL6IP4	ARL6IP4	blue	protein_coding	False	0		0
ARL9	ARL9	blue	protein_coding	False	0		0
ARMC1	ARMC1	blue	protein_coding	False	0		0
ARMC5	ARMC5	blue	protein_coding	False	0		0
ARMC6	ARMC6	blue	protein_coding	False	0		0
ARPC1A	ARPC1A	blue	protein_coding	False	0		0
ARPC2	ARPC2	blue	protein_coding	False	0		0
ARPC3	ARPC3	blue	protein_coding	False	0		0
ARRDC1-AS1	ARRDC1-AS1	blue	lncRNA	True	0		2
ASB1	ASB1	blue	protein_coding	False	0		0
ASB13	ASB13	blue	protein_coding	False	0		0
ASB3	ASB3	blue	protein_coding	False	0		0
ASCC1	ASCC1	blue	protein_coding	False	0		0
ASL	ASL	blue	protein_coding	False	0		0
ASPHD1	ASPHD1	blue	protein_coding	False	0		0
ASXL1	ASXL1	blue	protein_coding	False	0		0
ATAD3A	ATAD3A	blue	protein_coding	False	0		0
