fromNode	toNode	weight
AICDA	ALG1L13P	0.921899165818164
AICDA	ALOX15P1	0.921899165818164
AICDA	AMELX	0.489341308847354
AICDA	ASS1P6	0.921899165818164
AICDA	ATP6V0CP3	0.921899165818164
AICDA	BTLA	0.846618630349303
AICDA	C3orf22	0.921899165818164
AICDA	CIAO2AP1	0.921899165818164
AICDA	CNTN3	0.921899165818164
AICDA	COX6CP6	0.921899165818164
AICDA	CSF2RB	0.249381296692852
AICDA	CTF2P	0.252418406748703
AICDA	CXorf51A	0.921899165818164
AICDA	CYTH1P1	0.921899165818164
AICDA	DCDC1	0.401101185117207
AICDA	DDX11L5	0.921899165818164
AICDA	DPRXP6	0.224023746860696
AICDA	DUX4L9	0.921899165818164
AICDA	DYNLL1P1	0.249381296692852
AICDA	EEF1GP5	0.255614660649595
AICDA	EFL1P1	0.811030626736768
AICDA	EIF4HP2	0.648025274839567
AICDA	ENO1P4	0.216853261107117
AICDA	ENSG00000206549	0.747130678060045
AICDA	ENSG00000224864	0.487423989069234
AICDA	ENSG00000225460	0.887354313865046
AICDA	ENSG00000225840	0.921899165818164
AICDA	ENSG00000232482	0.921899165818164
AICDA	ENSG00000232736	0.776698504882758
AICDA	ENSG00000233268	0.921899165818164
AICDA	ENSG00000233778	0.573433580126648
AICDA	ENSG00000233877	0.921899165818164
AICDA	ENSG00000235224	0.921899165818164
AICDA	ENSG00000235308	0.337620622367821
AICDA	ENSG00000235485	0.337916623238635
AICDA	ENSG00000243024	0.224023746860696
AICDA	ENSG00000244604	0.921899165818164
AICDA	ENSG00000250111	0.916801645160528
AICDA	ENSG00000250914	0.291369239940161
AICDA	ENSG00000253520	0.6490653736239
AICDA	ENSG00000254702	0.309573195369301
AICDA	ENSG00000259013	0.921899165818164
AICDA	ENSG00000259164	0.921899165818164
AICDA	ENSG00000259623	0.567462984396301
AICDA	ENSG00000267441	0.288840540039992
AICDA	ENSG00000269237	0.921899165818164
AICDA	ENSG00000270484	0.921899165818164
AICDA	ENSG00000274629	0.889167148790335
AICDA	ENSG00000277859	0.845812088526537
AICDA	ENSG00000278862	0.921899165818164
AICDA	ENSG00000279143	0.921899165818164
AICDA	ENSG00000279686	0.24006532286191
AICDA	ENSG00000279716	0.921899165818164
AICDA	ENSG00000279752	0.281190227125941
AICDA	ENSG00000279840	0.921899165818164
AICDA	ENSG00000280043	0.921899165818164
AICDA	ENSG00000280376	0.799592184602343
AICDA	ENSG00000286203	0.921899165818164
AICDA	ENSG00000289258	0.921899165818164
AICDA	ENSG00000293553	0.733157226256947
AICDA	EPDR1	0.33677190514105
AICDA	ETF1P3	0.921899165818164
AICDA	EVX1	0.921899165818164
AICDA	FAM90A11	0.740234652118838
AICDA	FLJ30679	0.435335723663188
AICDA	HIGD1AP16	0.265365640462215
AICDA	HSD17B2	0.265365640462215
AICDA	HSPA7	0.29727879828436
AICDA	KCNMB2	0.291369239940161
AICDA	KRT8P7	0.921899165818164
AICDA	LAMTOR3P2	0.921899165818164
AICDA	LONRF2P5	0.921899165818164
AICDA	LRRC55	0.308877822525816
AICDA	METTL21C	0.389021084145639
AICDA	MIR4460	0.921899165818164
AICDA	MIR877	0.921899165818164
AICDA	MTCO3P24	0.921899165818164
AICDA	MYCT1	0.262243970993858
AICDA	NBPF18P	0.65229357453491
AICDA	NCF1C	0.921899165818164
AICDA	NDUFB11P1	0.921899165818164
AICDA	NRG3	0.265365640462215
AICDA	NUP35P2	0.921899165818164
AICDA	OR1F12P	0.860388639442596
AICDA	OR2B2	0.793506463179137
AICDA	OR56B4	0.265365640462215
AICDA	OR5G4P	0.921899165818164
AICDA	OTOG	0.921899165818164
AICDA	PABPC1P12	0.921899165818164
AICDA	PLAAT5	0.921899165818164
AICDA	PLCZ1	0.249381296692852
AICDA	PON1	0.504597619848856
AICDA	PPIAP81	0.921899165818164
AICDA	PROKR2	0.291369239940161
AICDA	RAX2	0.804831106447688
AICDA	RBBP8NL	0.28119022712594
AICDA	RN7SKP198	0.870375957748398
AICDA	RN7SKP287	0.921899165818164
AICDA	RN7SL219P	0.447067043832689
AICDA	RN7SL40P	0.868352098701693
AICDA	RNF212	0.858431027308257
AICDA	RNPC3P1	0.921899165818164
AICDA	RNU2-22P	0.452515423189383
AICDA	RPL10P7	0.921899165818164
AICDA	RPL27P5	0.921899165818164
AICDA	RPL29P32	0.921899165818164
AICDA	RPL31P38	0.921899165818164
AICDA	RPL6P2	0.376322215069683
AICDA	RPL6P23	0.921899165818164
AICDA	RPL7AP71	0.414320976994294
AICDA	RPLP0P4	0.921899165818164
AICDA	RPS27AP18	0.921899165818164
AICDA	RPSAP28	0.921899165818164
AICDA	SCARNA5	0.849157188609356
AICDA	SEC14L4	0.612851100039002
AICDA	SEPTIN14	0.673117191672579
AICDA	SFR1P1	0.82592987660176
AICDA	SLC10A2	0.921899165818164
AICDA	SLC22A2	0.921899165818164
AICDA	SPDYE15	0.818645699375698
AICDA	SSX2	0.921899165818164
AICDA	SSX2B	0.921899165818164
AICDA	ST13P12	0.811039410941942
AICDA	ST8SIA3	0.921899165818164
AICDA	SULT1A2	0.251963478908556
AICDA	TMEM52B	0.24006532286191
AICDA	TMSB4XP6	0.367095108768576
AICDA	TSHZ2	0.249381296692852
AICDA	ZIM3	0.921899165818164
AICDA	ZNF962P	0.921899165818164
ALG1L13P	ALOX15P1	0.921899165818164
ALG1L13P	AMELX	0.489341308847354
ALG1L13P	ASS1P6	0.921899165818164
ALG1L13P	ATP6V0CP3	0.921899165818164
ALG1L13P	BTLA	0.846618630349303
