gene
ADAMTSL4-AS1
ENSG00000213062
ENSG00000228302
ENSG00000267882
ENSG00000288865
ENSG00000289041
FTX
GASAL1
HELLPAR
LINC02977
MALAT1
MIR23AHG
MIRLET7BHG
NEAT1
SWINGN
